Step,AgentID,Wealth,Steps_not_given
1,1,1,0
1,2,1,0
1,3,1,0
1,4,1,0
1,5,1,0
1,6,1,0
1,7,1,0
1,8,1,0
1,9,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,1,0
1,14,1,0
1,15,1,0
1,16,1,0
1,17,1,0
1,18,1,0
1,19,1,0
1,20,1,0
1,21,1,0
1,22,1,0
1,23,1,0
1,24,1,0
1,25,1,0
1,26,1,0
1,27,1,0
1,28,1,0
1,29,1,0
1,30,1,0
1,31,1,0
1,32,1,0
1,33,1,0
1,34,1,0
1,35,1,0
1,36,1,0
1,37,1,0
1,38,1,0
1,39,1,0
1,40,1,0
1,41,1,0
1,42,1,0
1,43,1,0
1,44,1,0
1,45,1,0
1,46,1,0
1,47,1,0
1,48,1,0
1,49,1,0
1,50,1,0
2,19,1,1
2,49,1,1
2,36,0,0
2,5,1,1
2,23,1,1
2,28,1,1
2,45,2,1
2,31,2,1
2,16,1,1
2,44,2,1
2,9,1,1
2,32,1,1
2,46,1,1
2,7,0,0
2,29,1,1
2,30,1,1
2,26,1,1
2,18,1,1
2,6,1,1
2,17,1,1
2,34,1,0
2,41,2,0
2,25,1,0
2,22,1,0
2,24,1,1
2,40,1,1
2,3,0,0
2,10,1,1
2,38,1,1
2,47,1,0
2,4,1,1
2,20,1,1
2,42,1,0
2,33,0,0
2,13,1,1
2,50,0,0
2,12,1,1
2,14,1,1
2,15,1,0
2,48,1,0
2,43,1,1
2,39,1,1
2,1,0,0
2,8,1,1
2,27,2,1
2,2,2,1
2,21,1,1
2,35,1,0
2,11,1,1
2,37,1,1
3,18,0,0
3,28,1,0
3,46,1,0
3,48,1,1
3,3,0,1
3,38,2,2
3,10,1,2
3,31,1,0
3,40,1,2
3,9,2,2
3,22,1,1
3,42,2,1
3,14,2,0
3,11,1,0
3,47,2,0
3,24,1,2
3,15,1,1
3,32,1,2
3,4,1,2
3,23,0,0
3,49,1,2
3,41,2,1
3,1,0,1
3,5,0,0
3,25,0,0
3,34,1,0
3,16,1,2
3,30,1,2
3,20,1,2
3,37,1,2
3,7,0,1
3,39,1,2
3,44,2,2
3,36,0,1
3,6,0,0
3,33,1,1
3,8,1,0
3,12,1,0
3,50,0,1
3,21,2,0
3,27,2,2
3,17,1,2
3,43,1,2
3,26,1,0
3,13,0,0
3,29,1,2
3,45,1,0
3,35,1,1
3,2,2,0
3,19,2,2
4,36,0,2
4,15,1,2
4,12,0,0
4,49,0,0
4,24,0,0
4,41,2,2
4,40,1,3
4,43,1,3
4,9,3,3
4,1,0,2
4,14,3,1
4,20,1,3
4,5,1,1
4,25,1,1
4,31,0,0
4,18,0,1
4,44,2,0
4,27,2,0
4,23,0,1
4,26,1,1
4,46,1,0
4,38,2,3
4,13,0,1
4,16,1,3
4,33,1,2
4,34,0,0
4,37,1,0
4,32,1,3
4,47,2,0
4,48,1,0
4,42,3,2
4,17,1,3
4,39,1,3
4,11,1,1
4,8,1,0
4,29,1,3
4,10,1,0
4,35,1,2
4,3,0,2
4,2,2,1
4,4,1,3
4,50,0,2
4,30,1,3
4,6,0,1
4,21,3,1
4,19,1,0
4,22,1,2
4,28,0,0
4,7,0,2
4,45,2,1
5,10,1,1
5,13,0,2
5,2,2,2
5,22,1,3
5,4,1,4
5,44,2,1
5,39,0,0
5,12,0,1
5,27,2,1
5,15,1,3
5,14,2,0
5,35,1,3
5,37,0,0
5,31,1,1
5,36,0,3
5,40,1,0
5,49,0,1
5,3,0,3
5,18,0,2
5,41,2,3
5,24,0,1
5,48,1,0
5,28,0,1
5,43,1,4
5,9,3,4
5,19,1,1
5,6,0,2
5,16,0,0
5,34,0,1
5,1,0,3
5,25,1,2
5,21,4,2
5,47,2,1
5,20,1,4
5,45,1,0
5,33,1,3
5,29,1,4
5,32,2,4
5,7,0,3
5,38,2,4
5,42,3,0
5,5,1,0
5,11,1,0
5,26,1,2
5,50,1,0
5,23,0,2
5,17,1,4
5,30,1,4
5,46,1,1
5,8,2,1
6,38,2,5
6,15,1,4
6,23,0,3
6,3,0,4
6,24,0,2
6,30,1,5
6,27,2,2
6,19,1,2
6,22,1,4
6,46,0,0
6,12,0,2
6,31,1,2
6,44,2,2
6,7,0,4
6,17,2,0
6,33,0,0
6,25,0,0
6,29,1,0
6,8,2,2
6,34,0,2
6,42,4,0
6,2,3,3
6,37,0,1
6,20,1,5
6,4,1,5
6,45,2,1
6,6,0,3
6,50,1,1
6,48,1,0
6,16,0,1
6,41,2,4
6,39,0,1
6,21,4,3
6,1,0,4
6,5,1,1
6,35,1,4
6,18,0,3
6,43,1,5
6,9,3,0
6,26,1,3
6,47,1,0
6,28,0,2
6,13,0,3
6,14,2,1
6,11,1,0
6,49,0,2
6,32,2,5
6,10,1,2
6,40,1,1
6,36,0,4
7,22,1,5
7,8,2,3
7,46,0,1
7,20,1,6
7,10,2,3
7,44,2,3
7,40,1,2
7,42,4,1
7,47,1,0
7,36,0,5
7,9,3,1
7,24,0,3
7,39,0,2
7,33,0,1
7,45,2,0
7,6,0,4
7,29,1,1
7,27,1,0
7,3,0,5
7,35,1,5
7,18,0,4
7,37,1,2
7,49,0,3
7,2,4,4
7,15,0,0
7,23,0,4
7,13,0,4
7,1,1,5
7,16,0,2
7,19,1,3
7,17,1,0
7,50,1,2
7,31,1,3
7,7,0,5
7,28,0,3
7,11,1,1
7,4,1,0
7,34,0,3
7,26,1,4
7,14,1,0
7,12,0,3
7,43,0,0
7,38,2,6
7,25,1,1
7,48,1,0
7,5,2,2
7,32,2,6
7,30,2,6
7,41,1,0
7,21,3,0
8,11,1,2
8,25,1,2
8,10,2,4
8,38,2,7
8,16,0,3
8,2,4,5
8,14,1,0
8,41,0,0
8,29,1,0
8,28,0,4
8,30,2,0
8,22,1,6
8,35,0,0
8,3,1,6
8,40,0,0
8,24,0,4
8,26,1,5
8,21,3,1
8,6,1,5
8,32,2,0
8,43,0,1
8,15,1,1
8,34,0,4
8,48,1,1
8,9,3,2
8,33,0,2
8,47,1,1
8,44,2,0
8,5,2,3
8,1,1,6
8,12,0,4
8,20,2,7
8,19,1,4
8,46,0,2
8,7,0,6
8,31,1,4
8,36,0,6
8,8,2,4
8,13,0,5
8,37,0,0
8,23,0,5
8,50,1,3
8,18,0,5
8,39,0,3
8,27,1,1
8,45,2,1
8,17,1,1
8,42,4,2
8,4,1,1
8,49,0,4
9,39,0,4
9,26,0,0
9,7,0,7
9,6,1,6
9,17,1,2
9,15,1,0
9,20,2,0
9,18,0,6
9,44,2,0
9,14,1,1
9,38,3,8
9,10,2,5
9,11,1,3
9,31,1,5
9,28,0,5
9,23,0,6
9,47,0,0
9,30,2,0
9,45,2,2
9,27,1,2
9,5,2,4
9,13,0,6
9,25,1,3
9,12,0,5
9,2,4,0
9,37,0,1
9,19,0,0
9,24,0,5
9,32,2,1
9,33,0,3
9,4,1,2
9,29,1,1
9,9,3,3
9,22,2,7
9,40,0,1
9,35,0,1
9,8,3,5
9,1,1,7
9,36,0,7
9,49,0,5
9,3,1,7
9,21,2,0
9,42,4,3
9,48,2,2
9,43,0,2
9,50,1,4
9,34,0,5
9,16,0,4
9,46,0,3
9,41,0,1
10,16,0,5
10,39,0,5
10,45,2,0
10,22,2,8
10,6,1,7
10,7,0,8
10,33,0,4
10,37,0,2
10,20,2,1
10,50,1,5
10,47,0,1
10,9,3,4
10,38,3,9
10,2,4,1
10,46,1,4
10,48,2,3
10,36,1,8
10,5,2,5
10,40,0,2
10,4,1,3
10,31,0,0
10,42,5,4
10,11,0,0
10,23,0,7
10,14,2,2
10,12,0,6
10,26,0,1
10,34,0,6
10,29,1,0
10,44,2,0
10,18,0,7
10,49,0,6
10,25,1,4
10,8,3,6
10,19,0,1
10,24,0,6
10,32,1,0
10,41,0,2
10,17,0,0
10,21,2,0
10,30,2,0
10,28,0,6
10,10,2,6
10,13,0,7
10,35,0,2
10,15,2,0
10,3,0,0
10,27,1,0
10,43,0,3
10,1,1,8
11,13,0,8
11,18,0,8
11,47,0,2
11,42,5,5
11,36,1,9
11,34,0,7
11,27,1,1
11,39,0,6
11,17,0,1
11,14,2,3
11,3,0,1
11,24,0,7
11,29,1,1
11,6,0,0
11,37,0,3
11,41,0,3
11,4,1,4
11,16,0,6
11,25,1,5
11,1,1,0
11,45,2,0
11,50,1,6
