,Gini
0,0.0
1,0.364
2,0.48240000000000005
3,0.5512
4,0.6192
5,0.6048
6,0.5880000000000001
7,0.6552
8,0.656
9,0.6624000000000001
10,0.672
11,0.6648000000000001
12,0.66
13,0.6792
14,0.6792
15,0.6712
16,0.6912
17,0.6912
18,0.6968000000000001
19,0.6928000000000001
20,0.6976
21,0.6976
22,0.6736
23,0.6544000000000001
24,0.6656
25,0.6672
26,0.6712
27,0.676
28,0.6776
29,0.676
30,0.6848000000000001
31,0.6896
32,0.6536
33,0.6472
34,0.648
35,0.6232
36,0.6416
37,0.6224000000000001
38,0.6136
39,0.656
40,0.6168
41,0.5968
42,0.6104
43,0.5920000000000001
44,0.6120000000000001
45,0.6176
46,0.6088
47,0.5976
48,0.624
49,0.628
50,0.6376
51,0.6248
52,0.5848
53,0.5800000000000001
54,0.5824
55,0.5304
56,0.5408
57,0.5472
58,0.552
59,0.5352
60,0.5512
61,0.54
62,0.5552
63,0.5640000000000001
64,0.5768
65,0.5248
66,0.5376000000000001
67,0.5432
68,0.5376000000000001
69,0.5736
70,0.5736
71,0.6056
72,0.5880000000000001
73,0.6000000000000001
74,0.5784
75,0.6000000000000001
76,0.6328
77,0.6584000000000001
78,0.64
79,0.6768000000000001
80,0.6936
81,0.6608
82,0.6592
83,0.6744
84,0.7064
85,0.6896
86,0.6912
87,0.688
88,0.704
89,0.6544000000000001
90,0.6544000000000001
91,0.6384000000000001
92,0.6272
93,0.6328
94,0.616
95,0.6104
96,0.6352
97,0.652
98,0.6592
99,0.6392
