Step,AgentID,Wealth,Steps_not_given
1,1,1,0
1,2,1,0
1,3,1,0
1,4,1,0
1,5,1,0
1,6,1,0
1,7,1,0
1,8,1,0
1,9,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,1,0
1,14,1,0
1,15,1,0
1,16,1,0
1,17,1,0
1,18,1,0
1,19,1,0
1,20,1,0
1,21,1,0
1,22,1,0
1,23,1,0
1,24,1,0
1,25,1,0
1,26,1,0
1,27,1,0
1,28,1,0
1,29,1,0
1,30,1,0
1,31,1,0
1,32,1,0
1,33,1,0
1,34,1,0
1,35,1,0
1,36,1,0
1,37,1,0
1,38,1,0
1,39,1,0
1,40,1,0
1,41,1,0
1,42,1,0
1,43,1,0
1,44,1,0
1,45,1,0
1,46,1,0
1,47,1,0
1,48,1,0
1,49,1,0
1,50,1,0
2,1,2,1
2,2,1,1
2,3,1,1
2,4,1,1
2,5,2,0
2,6,0,0
2,7,1,1
2,8,2,0
2,9,0,0
2,10,1,1
2,11,1,1
2,12,1,1
2,13,0,0
2,14,2,1
2,15,1,0
2,16,1,0
2,17,3,0
2,18,1,0
2,19,1,1
2,20,1,1
2,21,1,1
2,22,1,1
2,23,4,0
2,24,1,1
2,25,1,1
2,26,2,1
2,27,1,1
2,28,0,0
2,29,1,1
2,30,0,0
2,31,0,0
2,32,1,0
2,33,2,1
2,34,1,1
2,35,1,1
2,36,0,0
2,37,1,1
2,38,0,0
2,39,0,0
2,40,1,1
2,41,0,0
2,42,1,0
2,43,1,1
2,44,1,1
2,45,1,0
2,46,0,0
2,47,1,1
2,48,1,1
2,49,1,1
2,50,1,0
3,1,3,2
3,2,0,0
3,3,1,2
3,4,1,2
3,5,2,0
3,6,0,1
3,7,2,2
3,8,2,1
3,9,0,1
3,10,1,0
3,11,1,2
3,12,0,0
3,13,0,1
3,14,2,0
3,15,1,1
3,16,0,0
3,17,2,0
3,18,1,1
3,19,1,0
3,20,1,2
3,21,1,2
3,22,1,2
3,23,4,0
3,24,1,2
3,25,1,2
3,26,1,0
3,27,1,2
3,28,0,1
3,29,1,2
3,30,0,1
3,31,1,1
3,32,3,1
3,33,2,2
3,34,1,2
3,35,0,0
3,36,0,1
3,37,2,2
3,38,0,1
3,39,1,1
3,40,1,2
3,41,0,1
3,42,0,0
3,43,3,2
3,44,1,2
3,45,1,1
3,46,0,1
3,47,1,2
3,48,1,2
3,49,0,0
3,50,0,0
4,1,3,0
4,2,0,1
4,3,1,0
4,4,0,0
4,5,2,1
4,6,0,2
4,7,3,3
4,8,1,0
4,9,0,2
4,10,0,0
4,11,0,0
4,12,0,1
4,13,0,2
4,14,2,1
4,15,1,2
4,16,0,1
4,17,3,1
4,18,1,0
4,19,1,0
4,20,1,3
4,21,0,0
4,22,1,3
4,23,4,1
4,24,1,3
4,25,1,3
4,26,1,1
4,27,1,3
4,28,0,2
4,29,1,0
4,30,2,2
4,31,1,0
4,32,3,2
4,33,2,3
4,34,1,3
4,35,0,1
4,36,0,2
4,37,2,3
4,38,0,2
4,39,1,2
4,40,1,3
4,41,0,2
4,42,0,1
4,43,4,0
4,44,1,3
4,45,0,0
4,46,0,2
4,47,1,3
4,48,1,0
4,49,0,1
4,50,1,1
5,1,2,0
5,2,0,2
5,3,3,1
5,4,0,1
5,5,1,0
5,6,0,3
5,7,3,4
5,8,1,1
5,9,0,3
5,10,0,1
5,11,0,1
5,12,0,2
5,13,0,3
5,14,3,2
5,15,0,0
5,16,0,2
5,17,3,0
5,18,1,1
5,19,1,0
5,20,1,0
5,21,0,1
5,22,2,4
5,23,4,0
5,24,1,4
5,25,0,0
5,26,0,0
5,27,1,4
5,28,0,3
5,29,0,0
5,30,2,3
5,31,0,0
5,32,3,3
5,33,2,0
5,34,2,4
5,35,0,2
5,36,1,3
5,37,2,0
5,38,0,3
5,39,1,0
5,40,1,4
5,41,0,0
5,42,0,2
5,43,5,0
5,44,1,4
5,45,0,1
5,46,0,3
5,47,1,4
5,48,1,1
5,49,0,2
5,50,1,0
6,1,2,1
6,2,0,3
6,3,2,0
6,4,0,2
6,5,1,1
6,6,0,4
6,7,2,0
6,8,1,0
6,9,0,4
6,10,0,2
6,11,0,2
6,12,0,3
6,13,0,4
6,14,4,3
6,15,0,1
6,16,1,3
6,17,3,1
6,18,1,2
6,19,1,1
6,20,1,0
6,21,0,2
6,22,2,5
6,23,4,0
6,24,1,0
6,25,1,1
6,26,0,1
6,27,1,5
6,28,0,4
6,29,0,1
6,30,2,4
6,31,0,1
6,32,3,4
6,33,2,1
6,34,1,0
6,35,0,3
6,36,1,4
6,37,2,1
6,38,0,4
6,39,1,1
6,40,1,5
6,41,0,1
6,42,0,3
6,43,5,0
6,44,0,0
6,45,0,2
6,46,0,4
6,47,1,5
6,48,2,2
6,49,0,3
6,50,1,1
7,1,1,0
7,2,0,4
7,3,2,0
7,4,0,3
7,5,1,0
7,6,1,5
7,7,2,1
7,8,0,0
7,9,0,5
7,10,0,3
7,11,0,3
7,12,0,4
7,13,0,5
7,14,3,0
7,15,0,2
7,16,1,4
7,17,4,0
7,18,1,3
7,19,1,2
7,20,1,0
7,21,0,3
7,22,2,6
7,23,4,0
7,24,1,1
7,25,1,2
7,26,0,2
7,27,1,6
7,28,0,5
7,29,0,2
7,30,1,0
7,31,1,2
7,32,3,0
7,33,3,0
7,34,1,1
7,35,0,4
7,36,1,0
7,37,2,0
7,38,0,5
7,39,1,2
7,40,1,6
7,41,0,2
7,42,0,4
7,43,4,0
7,44,0,1
7,45,0,3
7,46,0,5
7,47,1,6
7,48,2,3
7,49,0,4
7,50,2,0
8,1,0,0
8,2,0,5
8,3,3,1
8,4,0,4
8,5,1,1
8,6,1,6
8,7,3,0
8,8,0,1
8,9,0,6
8,10,0,4
8,11,0,4
8,12,0,5
8,13,0,6
8,14,3,0
8,15,0,3
8,16,1,5
8,17,3,0
8,18,0,0
8,19,1,0
8,20,0,0
8,21,0,4
8,22,2,7
8,23,4,1
8,24,2,2
8,25,1,3
8,26,0,3
8,27,1,7
8,28,0,6
8,29,0,3
8,30,0,0
8,31,1,0
8,32,3,1
8,33,4,1
8,34,0,0
8,35,0,5
8,36,1,0
8,37,2,1
8,38,0,6
8,39,1,3
8,40,1,7
8,41,0,3
8,42,0,5
8,43,4,1
8,44,0,2
8,45,0,4
8,46,0,6
8,47,2,7
8,48,2,4
8,49,0,5
8,50,3,1
9,1,0,1
9,2,0,6
9,3,3,2
9,4,0,5
9,5,1,0
9,6,1,7
9,7,2,0
9,8,0,2
9,9,0,7
9,10,0,5
9,11,0,5
9,12,0,6
9,13,0,7
9,14,3,0
9,15,0,4
9,16,1,6
9,17,3,0
9,18,0,1
9,19,1,1
9,20,0,1
9,21,1,5
9,22,2,8
9,23,4,0
9,24,1,0
9,25,1,4
9,26,0,4
9,27,1,8
9,28,0,7
9,29,0,4
9,30,0,1
9,31,1,1
9,32,3,2
9,33,5,2
9,34,0,1
9,35,0,6
9,36,1,0
9,37,3,2
9,38,0,7
9,39,0,0
9,40,1,8
9,41,0,4
9,42,0,6
9,43,4,2
9,44,0,3
9,45,0,5
9,46,1,7
9,47,2,8
9,48,1,0
9,49,0,6
9,50,3,2
10,1,0,2
10,2,0,7
10,3,3,3
10,4,0,6
10,5,1,1
10,6,1,8
10,7,1,0
10,8,0,3
10,9,0,8
10,10,0,6
10,11,0,6
10,12,0,7
10,13,0,8
10,14,3,1
10,15,0,5
10,16,1,7
10,17,3,0
10,18,0,2
10,19,1,2
10,20,0,2
10,21,1,6
10,22,2,9
10,23,4,1
10,24,1,0
10,25,1,5
10,26,0,5
10,27,1,0
10,28,0,8
10,29,0,5
10,30,0,2
10,31,1,2
10,32,3,0
10,33,5,3
10,34,1,2
10,35,0,7
10,36,0,0
10,37,3,3
10,38,1,8
10,39,0,1
10,40,1,9
10,41,0,5
10,42,0,7
10,43,4,3
10,44,0,4
10,45,0,6
10,46,0,0
10,47,2,0
10,48,1,1
10,49,0,7
10,50,4,3
11,1,1,3
11,2,0,8
11,3,3,4
11,4,0,7
11,5,1,2
11,6,1,0
11,7,2,1
11,8,0,4
11,9,0,9
11,10,0,7
11,11,0,7
11,12,1,8
11,13,0,9
11,14,4,2
11,15,0,6
11,16,1,8
11,17,2,0
11,18,0,3
11,19,1,3
11,20,0,3
11,21,2,0
11,22,2,10
