,Gini
0,0.0
1,0.37360000000000004
2,0.4504
3,0.484
4,0.476
5,0.4736
6,0.48640000000000005
7,0.4312
8,0.48640000000000005
9,0.46640000000000004
10,0.5096
11,0.5816
12,0.6024
13,0.5992
14,0.6264000000000001
15,0.6216
16,0.6064
17,0.6256
18,0.5624
19,0.616
20,0.6048
21,0.6024
22,0.6152
23,0.6295999999999999
24,0.6384000000000001
25,0.6176
26,0.628
27,0.6528
28,0.636
29,0.6456
30,0.6328
31,0.6168
32,0.5760000000000001
33,0.5632
34,0.5912
35,0.5696
36,0.5512
37,0.5312
38,0.5512
39,0.5336000000000001
40,0.5848
41,0.6672
42,0.6768000000000001
43,0.6792
44,0.6839999999999999
45,0.6736
46,0.6848000000000001
47,0.7048000000000001
48,0.6896
49,0.6648000000000001
50,0.6576
51,0.7024
52,0.696
53,0.6992
54,0.7008000000000001
55,0.6968000000000001
56,0.7008000000000001
57,0.6808000000000001
58,0.6664
59,0.628
60,0.6472
61,0.668
62,0.6856
63,0.6744
64,0.6624000000000001
65,0.6856
66,0.6712
67,0.652
68,0.6584000000000001
69,0.6856
70,0.6744
71,0.716
72,0.7392000000000001
73,0.716
74,0.7208
75,0.7343999999999999
76,0.7512000000000001
77,0.7632000000000001
78,0.7608
79,0.7584
80,0.7456
81,0.7224
82,0.6832
83,0.6888000000000001
84,0.6736
85,0.6839999999999999
86,0.6896
87,0.6632
88,0.668
89,0.6528
90,0.6568
91,0.6152
92,0.6144000000000001
93,0.6144000000000001
94,0.632
95,0.6288
96,0.6624000000000001
97,0.6448
98,0.6448
99,0.6144000000000001
